"voteintentionspain","edu3","dhincome_all","female","nativism","msexism","femdemonstrate"
4,1,0.363636374473572,0,0.5,0.277777791023254,0
3,3,0.727272748947144,1,0.75,0.277777791023254,0
3,3,0.636363625526428,1,0.5,0.388888865709305,0
1,3,0.818181812763214,1,0.649999976158142,0.370370388031006,0
7,3,0.636363625526428,1,0.350000023841858,0.111111104488373,0
7,3,0.727272748947144,1,0.300000011920929,0.333333343267441,0
4,3,0.272727280855179,1,0.649999976158142,0.203703716397285,0
4,1,0.454545468091965,1,1,0.222222208976746,0
4,3,0.545454561710358,1,0.300000011920929,0.203703716397285,1
4,3,0.636363625526428,1,0.5,0.388888865709305,1
1,3,0.636363625526428,0,0.449999988079071,0.444444447755814,1
4,1,0.272727280855179,1,0.899999976158142,0.425925940275192,0
2,1,0.636363625526428,0,0.75,0.481481462717056,0
2,3,0.818181812763214,0,0.5,0.5,0
4,3,0.818181812763214,0,0.5,0.5,0
4,3,0.818181812763214,0,0.550000011920929,0.370370388031006,0
1,3,0.636363625526428,1,0.5,0.444444447755814,0
2,1,0.545454561710358,0,0.850000023841858,0.611111104488373,0
4,1,0.545454561710358,0,0.5,0.5,0
2,3,0.90909093618393,1,0.5,0.518518507480621,0
2,3,0.818181812763214,1,0.899999976158142,0.666666686534882,0
1,1,0.636363625526428,0,0.600000023841858,0.370370388031006,0
23,3,0.818181812763214,0,1,0.629629611968994,0
23,3,0.818181812763214,0,1,0.629629611968994,0
4,3,0.818181812763214,1,0.5,0.0555555634200573,0
4,3,0.818181812763214,1,0.550000011920929,0.203703716397285,0
4,3,0.818181812763214,1,0.400000005960464,0.259259253740311,0
3,3,0.90909093618393,1,0.5,0.148148134350777,0
3,3,0.90909093618393,1,0.300000011920929,0.148148134350777,0
3,3,0.636363625526428,1,0.300000011920929,0.259259253740311,1
3,3,0.727272748947144,0,0.350000023841858,0.203703716397285,0
3,3,0.727272748947144,0,0.300000011920929,0.16666667163372,1
3,3,0.636363625526428,0,0.349999994039536,0.333333343267441,0
3,3,0.818181812763214,0,0.5,0.351851850748062,0
3,3,0.818181812763214,0,0.550000011920929,0.333333343267441,0
1,3,0.454545468091965,0,0.25,0.16666667163372,1
4,1,0.363636374473572,1,0.649999976158142,0.351851850748062,0
4,1,0.818181812763214,0,0.5,0.5,0
1,3,0.454545468091965,0,0.400000005960464,0.296296268701553,1
3,3,0.545454561710358,0,0.350000023841858,0.370370388031006,1
3,3,0.545454561710358,0,0.400000005960464,0.222222208976746,1
3,3,0.727272748947144,0,0.5,0.351851850748062,0
3,1,0.636363625526428,0,0.25,0,0
3,1,0.727272748947144,0,0.25,0.222222208976746,0
3,1,0.727272748947144,0,0.150000005960464,0.129629626870155,0
3,1,0.636363625526428,0,0.350000023841858,0.5,0
4,3,0.727272748947144,0,0.850000023841858,1,0
23,3,0.727272748947144,0,0.75,0.981481492519379,0
23,3,0.727272748947144,0,0.699999988079071,0.907407462596893,0
3,3,0.636363625526428,1,0.550000011920929,0.148148134350777,0
3,3,0.636363625526428,1,0.5,0.240740731358528,0
1,1,0.363636374473572,1,0.5,0.0555555634200573,0
4,3,0.818181812763214,0,0.649999976158142,0.666666686534882,0
2,3,0.636363625526428,0,0.75,0.666666686534882,0
3,3,0.727272748947144,0,0.200000002980232,0.129629626870155,0
2,3,0.727272748947144,0,0.649999976158142,0.240740731358528,0
23,3,0.727272748947144,0,0.699999988079071,0.351851850748062,0
23,3,0.727272748947144,0,0.550000011920929,0.333333343267441,0
4,3,0.636363625526428,0,0.800000011920929,0.555555582046509,0
4,3,0.818181812763214,0,0.450000017881393,0.351851850748062,0
2,3,0.545454561710358,1,0.600000023841858,0.388888865709305,0
23,3,0.545454561710358,1,0.850000023841858,0.425925940275192,0
23,3,0.636363625526428,1,0.600000023841858,0.388888865709305,0
23,1,0,0,0.5,0.666666686534882,1
23,1,0.454545468091965,0,0.5,0.5,1
23,1,0.272727280855179,0,0.850000023841858,1,0
2,1,0.454545468091965,1,1,0.259259253740311,0
2,1,0.636363625526428,1,1,0.740740776062012,0
2,2,0.636363625526428,1,0.949999988079071,0.814814805984497,0
3,1,0.363636374473572,0,0.450000017881393,0.185185194015503,0
3,1,0.636363625526428,0,0.5,0.240740731358528,0
3,1,0.727272748947144,0,0.400000005960464,0.222222208976746,0
1,1,0.181818187236786,1,0.649999976158142,0.148148134350777,0
4,3,0.727272748947144,1,0.5,0.129629626870155,0
4,3,0.727272748947144,1,0.5,0.296296268701553,0
1,3,0.818181812763214,0,0.699999988079071,0.537037074565887,0
3,3,0.818181812763214,0,0.600000023841858,0.629629611968994,0
1,3,0.818181812763214,1,0.5,0.148148134350777,1
4,3,0.818181812763214,0,0.5,0.833333313465118,0
1,3,0.727272748947144,1,0.400000005960464,0.148148134350777,1
1,3,0.727272748947144,1,0.5,0.111111104488373,1
1,3,0.636363625526428,0,0.400000005960464,0.16666667163372,0
1,3,0.636363625526428,0,0.550000011920929,0.16666667163372,0
7,2,0.454545468091965,0,0.349999994039536,0.0555555634200573,0
3,1,0.818181812763214,0,0.550000011920929,0.5,0
7,1,0.818181812763214,0,0.5,0.685185194015503,1
7,1,0.818181812763214,0,0.5,0.703703701496124,0
4,3,0.90909093618393,1,0.450000017881393,0.444444447755814,0
2,3,0.363636374473572,1,0.449999988079071,0.407407402992249,0
4,3,0.727272748947144,1,0.400000005960464,0.296296268701553,1
1,3,0.727272748947144,1,0.400000005960464,0.259259253740311,0
1,1,0.727272748947144,1,0.5,0.388888865709305,1
1,3,0.90909093618393,1,0.600000023841858,0.148148134350777,0
3,1,0.636363625526428,1,0.400000005960464,0.296296268701553,1
3,1,0.636363625526428,1,0.400000005960464,0.481481462717056,0
3,1,0.636363625526428,1,0.100000001490116,0.351851850748062,0
4,2,0.272727280855179,1,0.300000011920929,0.203703716397285,1
4,2,0.636363625526428,1,0,0.277777791023254,0
4,2,0.636363625526428,1,0.350000023841858,0.296296268701553,0
3,3,0.363636374473572,0,0.349999994039536,0.388888865709305,0
3,3,0.363636374473572,0,0.200000002980232,0.388888865709305,0
4,1,0.363636374473572,1,0.5,0.518518507480621,0
3,1,0.363636374473572,0,0.550000011920929,0.296296268701553,1
7,1,0.272727280855179,0,0.449999988079071,0.240740731358528,0
7,1,0.272727280855179,0,0.5,0.462962955236435,1
3,1,0.454545468091965,1,0.450000017881393,0.277777791023254,0
2,1,0.181818187236786,1,0.5,0.629629611968994,0
2,2,0.636363625526428,0,0.600000023841858,0.685185194015503,0
4,3,0.454545468091965,1,0.5,0.555555582046509,0
4,3,0.454545468091965,1,0.5,0.518518507480621,0
3,3,0.727272748947144,0,0.5,0.259259253740311,1
3,3,0.727272748947144,0,0.400000005960464,0.370370388031006,1
3,3,0.727272748947144,0,0.550000011920929,0.296296268701553,0
2,1,0.363636374473572,1,0.5,0.111111104488373,0
4,3,0.545454561710358,1,0.150000005960464,0.240740731358528,1
4,1,0.545454561710358,0,0.449999988079071,0.5,0
1,1,0.545454561710358,0,0.350000023841858,0.5,0
1,1,0.454545468091965,0,0.449999988079071,0.5,0
7,3,0.818181812763214,1,0.449999988079071,0.333333343267441,0
1,3,0.818181812763214,1,0.799999952316284,0.425925940275192,0
1,3,0.818181812763214,1,0.550000011920929,0.351851850748062,0
1,3,0.818181812763214,1,0.5,0.444444447755814,0
4,1,0.454545468091965,1,1,0.0740740671753883,0
4,1,0.636363625526428,1,1,0,0
1,3,0.727272748947144,1,0.699999988079071,0.259259253740311,1
1,1,0.454545468091965,0,0.5,0.518518507480621,0
1,1,0.545454561710358,0,0.5,0.57407408952713,0
3,2,0.545454561710358,1,0.200000002980232,0.240740731358528,0
1,3,0.545454561710358,1,0.400000005960464,0.222222208976746,1
1,3,0.545454561710358,1,0.349999994039536,0.203703716397285,0
4,3,0.636363625526428,0,0.899999976158142,0.333333343267441,0
4,2,0.727272748947144,0,0.649999976158142,0.462962955236435,1
4,2,0.727272748947144,0,0.5,0.5,0
23,2,0.727272748947144,0,0.449999988079071,0.444444447755814,0
3,1,0.454545468091965,0,0.649999976158142,0.444444447755814,0
3,1,0.454545468091965,0,0.600000023841858,0.462962955236435,0
3,1,0.454545468091965,0,0.700000047683716,0.388888865709305,0
3,3,0.90909093618393,0,0.600000023841858,0.240740731358528,1
1,3,0.90909093618393,0,0.350000023841858,0.259259253740311,0
1,3,0.90909093618393,0,0.200000002980232,0.351851850748062,0
3,3,0.272727280855179,0,0.350000023841858,0.296296268701553,0
3,3,0.181818187236786,0,0.25,0.222222208976746,1
3,3,0.272727280855179,0,0.300000011920929,0.259259253740311,1
4,1,0.727272748947144,0,0.649999976158142,0.518518507480621,0
7,3,1,1,0.200000002980232,0.203703716397285,0
7,3,0.90909093618393,1,0.100000001490116,0.277777791023254,0
23,1,0.090909093618393,1,1,0.814814805984497,0
23,1,0.090909093618393,1,0.949999988079071,0.796296298503876,0
4,3,0.727272748947144,1,0.200000002980232,0.351851850748062,0
1,3,0.727272748947144,1,0.5,0.16666667163372,0
1,3,0.727272748947144,1,0.400000005960464,0.259259253740311,0
3,2,0.545454561710358,1,0.449999988079071,0.018518527969718,1
3,3,0.545454561710358,1,0.150000005960464,0.0925925970077515,0
3,3,0.545454561710358,1,0.150000005960464,0.277777791023254,1
1,3,0.727272748947144,1,0.349999994039536,0.111111104488373,1
1,3,0.818181812763214,1,0.300000011920929,0.259259253740311,0
4,1,0.090909093618393,1,0.649999976158142,0.0370370335876942,0
4,3,0.545454561710358,0,0.5,0.518518507480621,0
4,3,0.545454561710358,0,0.5,0.425925940275192,0
4,3,0.636363625526428,0,0.5,0.388888865709305,0
4,2,0.727272748947144,0,0.75,0.611111104488373,0
4,2,0.727272748947144,0,0.600000023841858,0.648148119449615,0
3,3,0.727272748947144,1,0.25,0.481481462717056,0
3,3,0.727272748947144,1,0.25,0.185185194015503,0
4,3,0.818181812763214,1,0.449999988079071,0.388888865709305,1
1,2,0.363636374473572,1,0.200000002980232,0.185185194015503,1
7,3,0.727272748947144,1,0.600000023841858,0.185185194015503,0
4,3,0.727272748947144,0,0.550000011920929,0.407407402992249,0
2,3,0.545454561710358,0,0.649999976158142,0.296296268701553,0
2,3,0.636363625526428,0,0.600000023841858,0.629629611968994,0
1,1,0.363636374473572,1,0.5,0.5,1
1,2,0.545454561710358,0,0.550000011920929,0.259259253740311,0
1,1,0.636363625526428,0,0.5,0.5,0
1,2,0.636363625526428,0,0.649999976158142,0.592592537403107,0
3,3,0.636363625526428,0,0.200000002980232,0.111111104488373,1
3,3,0.454545468091965,0,0.200000002980232,0.259259253740311,1
3,1,0.636363625526428,1,0.5,0.0555555634200573,0
3,1,0.636363625526428,1,0.449999988079071,0.5,0
23,1,0.636363625526428,0,1,0.981481492519379,0
23,1,0.272727280855179,0,1,0.907407462596893,0
4,3,1,0,0.550000011920929,0.333333343267441,0
4,3,1,0,0.550000011920929,0.481481462717056,0
3,3,0.545454561710358,0,0.300000011920929,0.203703716397285,1
1,3,0.545454561710358,0,0.349999994039536,0.240740731358528,1
1,2,0.363636374473572,0,0.150000005960464,0.16666667163372,1
1,3,0.454545468091965,0,0.200000002980232,0.0925925970077515,1
1,3,0.454545468091965,0,0.25,0.277777791023254,0
1,2,0.727272748947144,1,0.649999976158142,0.0555555634200573,1
1,2,0.545454561710358,1,0.699999988079071,0.0925925970077515,1
3,2,0.363636374473572,1,0.649999976158142,0.240740731358528,0
1,2,0.727272748947144,1,0.5,0.240740731358528,0
3,2,0.636363625526428,0,0.5,0.222222208976746,0
4,2,0.727272748947144,1,0.899999976158142,0.222222208976746,0
4,2,0.90909093618393,1,0.75,0.333333343267441,0
23,2,0.90909093618393,1,0.600000023841858,0.57407408952713,0
1,3,0.454545468091965,1,0.5,0.0740740671753883,0
4,3,0.636363625526428,0,0.550000011920929,0.407407402992249,0
1,3,0.727272748947144,0,0.5,0.333333343267441,0
4,1,0.363636374473572,1,0.600000023841858,0.0925925970077515,0
4,1,0.363636374473572,1,0.949999988079071,0.259259253740311,0
4,3,0.818181812763214,1,0.5,0.148148134350777,0
23,3,0.636363625526428,1,0.5,0.629629611968994,0
4,3,0.545454561710358,0,0.600000023841858,0.259259253740311,0
1,3,0.545454561710358,0,0.400000005960464,0.240740731358528,0
1,3,0.272727280855179,0,0.400000005960464,0.259259253740311,0
1,2,0.272727280855179,1,0.699999988079071,0.277777791023254,0
1,1,0.272727280855179,1,0.5,0.648148119449615,1
3,2,0.454545468091965,1,0.75,0.148148134350777,0
1,2,0.454545468091965,1,0.5,0.240740731358528,0
3,3,0.636363625526428,1,0.600000023841858,0.57407408952713,0
1,2,0,0,0.100000001490116,0.203703716397285,0
1,2,0,0,0,0.16666667163372,0
1,2,0,0,0,0.111111104488373,0
3,1,0.727272748947144,0,0.200000002980232,0.129629626870155,0
1,3,0.454545468091965,1,0.649999976158142,0.185185194015503,0
1,3,0.363636374473572,1,0.799999952316284,0.296296268701553,0
1,3,0.363636374473572,1,0.75,0.185185194015503,0
7,2,0.636363625526428,1,0.300000011920929,0.148148134350777,0
3,3,0.818181812763214,1,0.400000005960464,0.185185194015503,0
1,3,0.636363625526428,0,0.5,0.185185194015503,0
1,3,0.636363625526428,0,0.5,0.277777791023254,1
1,1,0.818181812763214,1,0.5,0.5,0
1,3,0.454545468091965,0,0.5,0.648148119449615,0
3,3,0.454545468091965,0,0.600000023841858,0.740740776062012,0
3,3,0.454545468091965,0,0.550000011920929,0.5,0
1,1,0.090909093618393,1,0.899999976158142,0.277777791023254,0
1,3,0.545454561710358,0,0.75,0.259259253740311,0
1,2,0,0,0.5,0.57407408952713,0
4,3,0.90909093618393,0,0.699999988079071,0.685185194015503,0
23,3,0.90909093618393,0,0.550000011920929,0.77777773141861,0
3,3,0.363636374473572,1,0.550000011920929,0.351851850748062,0
3,3,0.363636374473572,1,0.600000023841858,0.351851850748062,0
